image_name,weather,scene,timeofday,gt_count,pred_count,tp,fp,fn,precision,recall,f1
b204a5c1-05981158.jpg,snowy,city street,daytime,14,5,5,0,9,1.0,0.35714285714285715,0.5263157894736842
b204a5c1-064b0040.jpg,snowy,city street,daytime,28,13,10,3,18,0.7692307692307693,0.35714285714285715,0.48780487804878053
b204a5c1-fa3d5b88.jpg,snowy,city street,daytime,12,5,5,0,7,1.0,0.4166666666666667,0.5882352941176471
b205eb4d-f84aaa1a.jpg,clear,highway,daytime,31,10,8,2,23,0.8,0.25806451612903225,0.3902439024390244
b2064e61-2beadd45.jpg,rainy,highway,night,30,10,8,2,22,0.8,0.26666666666666666,0.4
b206a78b-99f405ab.jpg,clear,city street,night,20,6,5,1,15,0.8333333333333334,0.25,0.3846153846153846
b2080dc7-f9b98a5f.jpg,clear,city street,night,15,1,0,1,15,0.0,0.0,0.0
b20841f9-cef732d5.jpg,clear,highway,daytime,16,11,4,7,12,0.36363636363636365,0.25,0.2962962962962963
b20b1e63-4d8478a4.jpg,clear,residential,night,9,6,5,1,4,0.8333333333333334,0.5555555555555556,0.6666666666666667
b20b69d2-64b9cdb8.jpg,clear,highway,daytime,19,4,4,0,15,1.0,0.21052631578947367,0.34782608695652173
b20b69d2-650e674d.jpg,clear,residential,daytime,18,13,12,1,6,0.9230769230769231,0.6666666666666666,0.7741935483870968
b20b69d2-6e2b9e73.jpg,clear,highway,daytime,11,2,2,0,9,1.0,0.18181818181818182,0.3076923076923077
b20b69d2-7767e6b6.jpg,clear,city street,daytime,19,12,10,2,9,0.8333333333333334,0.5263157894736842,0.6451612903225806
b20b69d2-bd242bf0.jpg,clear,highway,daytime,7,6,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846153
b20b69d2-ca16c907.jpg,clear,highway,daytime,6,3,2,1,4,0.6666666666666666,0.3333333333333333,0.4444444444444444
b20b69d2-e31380a7.jpg,clear,highway,daytime,5,2,2,0,3,1.0,0.4,0.5714285714285715
